arthropods 	 Segestria_senoculata 	 genomic_data 	 qqSegSeno1 	 10x
arthropods 	 Segestria_senoculata 	 genomic_data 	 qqSegSeno1 	 pacbio
arthropods 	 Semibalanus_balanoides 	 genomic_data 	 qxSemBala1 	 10x
arthropods 	 Semibalanus_balanoides 	 genomic_data 	 qxSemBala1 	 hic-arima2
arthropods 	 Semibalanus_balanoides 	 genomic_data 	 qxSemBala1 	 pacbio
arthropods 	 Steatoda_bipunctata 	 genomic_data 	 qqSteBipu1 	 10x
arthropods 	 Steatoda_bipunctata 	 genomic_data 	 qqSteBipu1 	 pacbio
arthropods 	 Steatoda_bipunctata 	 genomic_data 	 qqSteBipu2 	 hic-arima2
arthropods 	 Stigmatogaster_subterranea 	 genomic_data 	 qcStiSubt1 	 10x
arthropods 	 Stigmatogaster_subterranea 	 genomic_data 	 qcStiSubt1 	 hic-arima2
arthropods 	 Stigmatogaster_subterranea 	 genomic_data 	 qcStiSubt1 	 pacbio
arthropods 	 Tachypodoiulus_niger 	 genomic_data 	 qdTacNige1 	 hic-arima2
arthropods 	 Tibellus_oblongus 	 genomic_data 	 qqTibOblo1 	 10x
arthropods 	 Tibellus_oblongus 	 genomic_data 	 qqTibOblo1 	 pacbio
arthropods 	 Uloborus_plumipes 	 genomic_data 	 qqUloPlum3 	 pacbio
arthropods 	 Xantho_hydrophilus 	 genomic_data 	 qmXanHydr1 	 10x
arthropods 	 Xantho_hydrophilus 	 genomic_data 	 qmXanHydr1 	 hic-arima2
arthropods 	 Xantho_hydrophilus 	 genomic_data 	 qmXanHydr1 	 pacbio
arthropods 	 Xantho_pilipes 	 genomic_data 	 qmXanPili3 	 hic-arima2
arthropods 	 Xysticus_cristatus 	 genomic_data 	 qqXysCris2 	 10x
arthropods 	 Xysticus_cristatus 	 genomic_data 	 qqXysCris2 	 pacbio
arthropods 	 Zelotes_latreillei 	 genomic_data 	 qqZelLatr1 	 10x
arthropods 	 Zelotes_latreillei 	 genomic_data 	 qqZelLatr1 	 pacbio
arthropods 	 Zoropsis_spinimana 	 genomic_data 	 qqZorSpii1 	 10x
arthropods 	 Zoropsis_spinimana 	 genomic_data 	 qqZorSpii1 	 pacbio
arthropods 	 Zygiella_x-notata 	 genomic_data 	 qqZygXnot1 	 10x
arthropods 	 Zygiella_x-notata 	 genomic_data 	 qqZygXnot1 	 pacbio
arthropods 	 Zygiella_x-notata 	 genomic_data 	 qqZygXnot2 	 hic-arima2
birds 	 Accipiter_gentilis 	 genomic_data 	 bAccGen1 	 10x
birds 	 Accipiter_gentilis 	 genomic_data 	 bAccGen1 	 hic-arima2
birds 	 Accipiter_gentilis 	 genomic_data 	 bAccGen1 	 pacbio
birds 	 Aquila_chrysaetos_chrysaetos 	 genomic_data 	 bAquChr1 	 10x
birds 	 Aquila_chrysaetos_chrysaetos 	 genomic_data 	 bAquChr1 	 bionano
birds 	 Aquila_chrysaetos_chrysaetos 	 genomic_data 	 bAquChr1 	 hic-dovetail
birds 	 Aquila_chrysaetos_chrysaetos 	 genomic_data 	 bAquChr1 	 illumina
birds 	 Aquila_chrysaetos_chrysaetos 	 genomic_data 	 bAquChr1 	 pacbio
birds 	 Calonectris_borealis 	 genomic_data 	 bCalBor6 	 hic-arima2
birds 	 Calonectris_borealis 	 genomic_data 	 bCalBor6 	 pacbio
birds 	 Caprimulgus_europaeus 	 genomic_data 	 bCapEur3 	 10x
birds 	 Caprimulgus_europaeus 	 genomic_data 	 bCapEur3 	 bionano
birds 	 Caprimulgus_europaeus 	 genomic_data 	 bCapEur3 	 hic-arima2
birds 	 Caprimulgus_europaeus 	 genomic_data 	 bCapEur3 	 pacbio
birds 	 Cinclus_cinclus 	 genomic_data 	 bCinCin2 	 hic-arima2
birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub1 	 10x
birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub1 	 illumina
