taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value
45912	species	Kalmia procumbens	Ericaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.70751953125
53159	species	Lamium album	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.97021484375
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
105588	species	Kickxia elatine	Plantaginaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.58984375
105271	species	Knautia arvensis	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	7.16015625
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
306308	species	Lysimachia terrestris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.9765625
191068	species	Lysimachia vulgaris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.310546875
1155340	species	Limonium binervosum	Plumbaginaceae	Caryophyllales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	3.650390625
260603	species	Lycopus europaeus	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.8623046875
13597	species	Ligustrum vulgare	Oleaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.7099609375
34270	species	Syringa vulgaris	Oleaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.205078125
41911	species	Lathraea clandestina	Orobanchaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.330078125
48555	species	Boschniakia rossica	Orobanchaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	3.966796875
77623	species	Linnaea borealis	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1
374711	species	Lathraea squamaria	Orobanchaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.41015625
13129	species	Lythrum salicaria	Lythraceae	Myrtales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.6201171875
49554	species	Ligusticum scoticum	Apiaceae	Apiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	3.3203125
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
13129	species	Lythrum salicaria	Lythraceae	Myrtales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.6201171875
260603	species	Lycopus europaeus	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.8623046875
75948	species	Lactuca saligna	Asteraceae	Asterales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.58984375
43171	species	Linaria vulgaris	Plantaginaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.9599609375
