insects 	 Pheosia_tremula 	 curated
insects 	 Philereme_vetulata 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Pieris_brassicae 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Platycheirus_albimanus 	 curated
insects 	 Plebejus_argus 	 curated
insects 	 Pterostichus_madidus 	 curated
insects 	 Ptilodon_capucinus 	 curated
insects 	 Pyrgus_malvae 	 curated
insects 	 Pyrochroa_serraticornis 	 curated
insects 	 Rhagonycha_fulva 	 curated
insects 	 Sarcophaga_caerulescens 	 curated
insects 	 Sarcophaga_carnaria 	 curated
insects 	 Scaeva_pyrastri 	 curated
insects 	 Schrankia_costaestrigalis 	 curated
insects 	 Seladonia_tumulorum 	 curated
insects 	 Seladonia_tumulorum 	 curated
insects 	 Selenia_dentaria 	 curated
insects 	 Sesia_apiformis 	 curated
insects 	 Sicus_ferrugineus 	 curated
insects 	 Sphecodes_monilicornis 	 curated
insects 	 Sphecodes_monilicornis 	 curated
insects 	 Spilarctia_lutea 	 curated
insects 	 Spilosoma_lubricipeda 	 curated
insects 	 Synanthedon_vespiformis 	 curated
insects 	 Syritta_pipiens 	 curated
insects 	 Tachina_fera 	 curated
insects 	 Tenthredo_notha 	 curated
insects 	 Thecocarcelia_acutangulata 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thymelicus_sylvestris 	 curated
insects 	 Tinea_semifulvella 	 curated
insects 	 Tinea_trinotella 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_cardui 	 curated
insects 	 Vespa_crabro 	 curated
insects 	 Vespa_velutina 	 curated
insects 	 Vespula_germanica 	 curated
insects 	 Vespula_vulgaris 	 curated
insects 	 Volucella_inanis 	 curated
insects 	 Xanthogramma_pedissequum 	 curated
insects 	 Xestia_c-nigrum 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xylota_sylvarum 	 curated
insects 	 Ypsolopha_scabrella 	 curated
insects 	 Zeuzera_pyrina 	 curated
insects 	 Zygaena_filipendulae 	 curated
insects 	 Zygaena_filipendulae 	 curated
jellyfish 	 Diadumene_lineata 	 curated
jellyfish 	 Haliclystus_octoradiatus 	 curated
mammals 	 Arvicola_amphibius 	 curated
mammals 	 Arvicola_amphibius 	 curated
mammals 	 Canis_lupus 	 curated
mammals 	 Canis_lupus 	 curated
mammals 	 Cervus_elaphus 	 curated
mammals 	 Lutra_lutra 	 curated
mammals 	 Lutra_lutra 	 curated
mammals 	 Meles_meles 	 curated
mammals 	 Pipistrellus_pipistrellus 	 curated
mammals 	 Rattus_norvegicus 	 curated
mammals 	 Rattus_norvegicus 	 curated
mammals 	 Rattus_norvegicus 	 curated
mammals 	 Sciurus_carolinensis 	 curated
mammals 	 Sciurus_carolinensis 	 curated
mammals 	 Sciurus_vulgaris 	 curated
mammals 	 Sciurus_vulgaris 	 curated
molluscs 	 Gari_tellinella 	 curated
molluscs 	 Patella_pellucida 	 curated
molluscs 	 Pecten_maximus 	 curated
molluscs 	 Phorcus_lineatus 	 curated
molluscs 	 Steromphala_cineraria 	 curated
other-animal-phyla 	 Lineus_longissimus 	 curated
other-animal-phyla 	 Membranipora_membranacea 	 curated
protists 	 Eimeria_tenella 	 curated
sharks 	 Scyliorhinus_canicula 	 curated
sharks 	 Scyliorhinus_canicula 	 curated
dicots 	 Geum_urbanum 	 draft
dicots 	 Geum_urbanum 	 draft
dicots 	 Polygonum_aviculare 	 draft
insects 	 Phlogophora_meticulosa 	 draft
insects 	 Sicus_ferrugineus 	 draft
algae 	 Dunaliella_primolecta 	 draft
algae 	 Pycnococcus_provasolii 	 draft
amphibians 	 Bufo_bufo 	 draft
amphibians 	 Rana_temporaria 	 draft
arthropods 	 Dolomedes_plantarius 	 draft
arthropods 	 Dolomedes_plantarius 	 draft
arthropods 	 Dolomedes_plantarius 	 draft
arthropods 	 Dolomedes_plantarius 	 draft
arthropods 	 Meta_bourneti 	 draft
arthropods 	 Sacculina_carcini 	 draft
birds 	 Accipiter_gentilis 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Aquila_chrysaetos_chrysaetos 	 draft
birds 	 Caprimulgus_europaeus 	 draft
birds 	 Erithacus_rubecula 	 draft
birds 	 Erithacus_rubecula 	 draft
birds 	 Erithacus_rubecula 	 draft
birds 	 Streptopelia_turtur 	 draft
birds 	 Streptopelia_turtur 	 draft
birds 	 Streptopelia_turtur 	 draft
chordates 	 Aplidium_turbinatum 	 draft
dicots 	 Ailanthus_altissima 	 draft
dicots 	 Alnus_glutinosa 	 draft
dicots 	 Ballota_nigra 	 draft
dicots 	 Chamaenerion_angustifolium 	 draft
dicots 	 Filipendula_ulmaria 	 draft
dicots 	 Geum_urbanum 	 draft
dicots 	 Hedera_helix 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Lycopus_europaeus 	 draft
dicots 	 Malus_domestica 	 draft
dicots 	 Malus_domestica 	 draft
dicots 	 Malus_domestica 	 draft
dicots 	 Malus_domestica 	 draft
dicots 	 Malus_sylvestris 	 draft
dicots 	 Medicago_arabica 	 draft
dicots 	 Polygonum_aviculare 	 draft
dicots 	 Potentilla_anserina 	 draft
dicots 	 Quercus_robur 	 draft
dicots 	 Solanum_dulcamara 	 draft
dicots 	 Urtica_urens 	 draft
echinoderms 	 Asterias_rubens 	 draft
echinoderms 	 Asterias_rubens 	 draft
echinoderms 	 Asterias_rubens 	 draft
echinoderms 	 Marthasterias_glacialis 	 draft
fish 	 Pholis_gunnellus 	 draft
fish 	 Salmo_trutta 	 draft
fish 	 Salmo_trutta 	 draft
fish 	 Taurulus_bubalis 	 draft
fish 	 Trachurus_trachurus 	 draft
fish 	 Trachurus_trachurus 	 draft
fungi 	 Laetiporus_sulphureus 	 draft
fungi 	 Metschnikowia_zobellii 	 draft
insects 	 Abrostola_tripartita 	 draft
insects 	 Acanthosoma_haemorrhoidale 	 draft
insects 	 Acleris_emargana 	 draft
insects 	 Acleris_sparsana 	 draft
insects 	 Acronicta_aceris 	 draft
insects 	 Adalia_bipunctata 	 draft
insects 	 Aelia_acuminata 	 draft
insects 	 Agonopterix_arenella 	 draft
insects 	 Agonopterix_subpropinquella 	 draft
insects 	 Agriopis_aurantiaria 	 draft
insects 	 Agriphila_tristella 	 draft
insects 	 Agrochola_circellaris 	 draft
insects 	 Agrochola_macilenta 	 draft
insects 	 Agrypnus_murinus 	 draft
insects 	 Agrypnus_murinus 	 draft
insects 	 Amphipyra_berbera 	 draft
insects 	 Amphipyra_tragopoginis 	 draft
insects 	 Ancistrocerus_nigricornis 	 draft
insects 	 Andrena_dorsata 	 draft
insects 	 Andrena_haemorrhoa 	 draft
insects 	 Andrena_minutula 	 draft
insects 	 Anoplius_nigerrimus 	 draft
insects 	 Anthocharis_cardamines 	 draft
insects 	 Apamea_monoglypha 	 draft
insects 	 Aphantopus_hyperantus 	 draft
insects 	 Aphantopus_hyperantus 	 draft
insects 	 Aphantopus_hyperantus 	 draft
insects 	 Aphantopus_hyperantus 	 draft
insects 	 Aplocera_efformata 	 draft
insects 	 Apoderus_coryli 	 draft
insects 	 Aporia_crataegi 	 draft
insects 	 Apotomis_betuletana 	 draft
insects 	 Apotomis_turbidana 	 draft
insects 	 Aricia_agestis 	 draft
insects 	 Aricia_artaxerxes 	 draft
insects 	 Atethmia_centrago 	 draft
insects 	 Athalia_rosae 	 draft
insects 	 Autographa_gamma 	 draft
insects 	 Autographa_pulchrina 	 draft
insects 	 Bellardia_pandia 	 draft
insects 	 Bembecia_ichneumoniformis 	 draft
insects 	 Bibio_marci 	 draft
insects 	 Biston_betularia 	 draft
insects 	 Blastobasis_adustella 	 draft
insects 	 Blastobasis_lacticolella 	 draft
insects 	 Boloria_selene 	 draft
insects 	 Bombus_campestris 	 draft
insects 	 Bombus_hortorum 	 draft
insects 	 Bombus_hypnorum 	 draft
insects 	 Bombus_pascuorum 	 draft
insects 	 Bombus_pratorum 	 draft
insects 	 Bombus_sylvestris 	 draft
insects 	 Bombus_terrestris 	 draft
insects 	 Brachyptera_putata 	 draft
insects 	 Brachyptera_putata 	 draft
insects 	 Brachyptera_putata 	 draft
insects 	 Brachyptera_putata 	 draft
insects 	 Calamotropha_paludella 	 draft
insects 	 Campaea_margaritaria 	 draft
insects 	 Cantharis_rustica 	 draft
insects 	 Carcina_quercana 	 draft
insects 	 Celastrina_argiolus 	 draft
insects 	 Cerceris_rybyensis 	 draft
insects 	 Cheilosia_vulpina 	 draft
